Zipcode  Duration (s)  Distance
Time: 10-20-2014 21:00:00
07430  3275  62.386
07869  2603  46.6
07450  3003  46.339
08558  3734  62.176
30331  53082  1391.066
18051  6050  143.018
07105  1251  17.858
07666  2415  42.044
08534  4542  81.381
10950  4523  102.587
07946  1924  34.067
18055  4917  115.221
07044  1751  25.153
08753  4634  99.502
07070  1889  32.626
88201  108606  3067.255
07028  1343  19.028
18974  5607  123.129
07718  2755  49.184
07738  2603  51.307
66062  69916  1937.414
08859  1693  30.131
08810  2826  50.669
19464  7556  166.984
19465  7715  187.213
08858  2433  54.82
07828  3476  69.153
19106  6249  132.499
08742  4091  83.048
08542  3768  63.558
19135  5497  120.815
10016  2604  38.181
08016  4151  96.406
07731  3658  79.676
07751  2494  44.787
18062  6027  144.073
19444  5914  140.691
03253  21029  527.311
19428  5953  143.473
07422  4609  89.266
07871  3413  70.042
18031  6053  142.616
07001  1629  15.321
07836  2999  66.442
07040  1219  14.07
18964  6747  151.026
90293  156294  4480.602
07052  1322  21.248
13905  11288  284.713
08861  1462  23.222
18334  6272  145.88
18322  5877  135.575
07927  1907  31.513
78342  104177  2999.553
12010  11586  304.316
07060  1622  17.621
18337  5902  114.286
18301  5166  115.883
18977  4614  101.367
07003  1222  20.091
18072  5572  118.641
08816  2258  40.125
08901  1973  37.048
18104  5452  132.818
08817  1780  31.73
02482  14940  355.581
08824  2898  50.762
08648  3941  69.908
08619  3900  72.072
07934  2678  54.793
19118  5915  136.01
07206  1725  11.667
08869  2352  52.023
07086  1931  33.11
10075  3333  41.894
15102  23347  581.281
95051  163219  4724.979
07204  622  4.102
19038  5597  133.017
08730  3771  78.881
08003  5249  121.461
19401  6127  142.583
18932  6487  140.715
27587  27804  739.287
19440  6573  150.76
46032  42754  1141.132
94301  162994  4717.847
14770  20633  545.235
07062  1480  12.085
08062  6308  155.099
08527  4449  98.774
19031  5534  131.652
18360  5356  124.925
15044  22384  587.312
01070  14928  329.191
19136  5395  116.792
15003  24087  608.417
08034  4943  118.021
08520  3065  64.147
08638  4424  78.126
07069  1512  17.079
15084  22284  583.449
11510  5440  78.13
08852  2805  51.457
08054  4198  106.877
08035  5357  125.962
27807  27911  747.332
08863  1393  22.019
18940  5455  114.061
18969  6670  152.152
19025  4922  123.629
07039  1804  27.054
07417  2668  51.655
18067  5663  130.645
07878  2250  44.164
19504  6523  147.434
19085  5869  146.063
33331  70420  2017.395
98801  152208  4339.094
07932  1857  25.502
08691  3574  73.252
08872  1805  31.135
79780  110019  3208.153
18038  6360  139.723
10024  2566  40.484
08879  1656  28.831
08012  5659  135.395
07866  2636  52.28
07029  1253  18.269
08830  1103  16.836
18966  5303  116.937
88021  121291  3440.767
85342  134981  3932.741
19119  6232  139.438
22936  21378  528.631
18942  4941  99.393
07009  1948  27.468
22314  14337  357.883
07737  2931  51.674
19115  5255  116.983
08081  6230  139.057
19540  8511  202.187
60202  47064  1289.772
05465  22691  518.452
19087  6309  152.119
08052  4880  116.055
08225  7277  175.982
60611  45843  1267.145
19063  6834  166.182
10583  4031  72.369
07457  2760  57.257
10033  2580  47.499
20854  13936  357.188
07724  2694  58.435
07733  2346  48.824
07735  2177  40.227
28211  36657  993.003
07046  2265  42.534
01104  11273  263.895
10280  2588  33.382
08530  4547  91.647
07093  2167  34.606
07748  2568  46.834
07722  2977  58.234
07480  3688  73.23
10312  1929  32.071
07018  1027  13.074
07926  2424  40.461
18963  4669  95.606
08722  4449  100.59
07481  2620  48.655
07405  3035  62.606
10924  4902  117.556
18077  4800  101.076
02908  13714  323.611
08751  4982  108.261
75230  85783  2479.273
80129  99414  2881.465
92106  154939  4434.823
44026  26774  716.931
85340  135484  3893.948
92708  155589  4462.23
07663  1963  35.799
18930  5107  103.313
10597  5642  119.361
46060  43079  1148.771
10019  2404  36.756
19103  5963  135.601
07047  2135  33.401
19001  5562  125.952
07304  1772  28.336
07205  974  7.697
07980  2016  34.257
08525  4338  83.855
18972  4733  92.47
10028  3285  43.415
98117  159869  4524.959
08088  5747  124.25
18018  5343  122.712
07305  1764  27.37
88121  105388  2974.209
07444  2603  43.727
33624  64381  1786.651
19125  5796  129.522
15927  18893  481.274
08505  3982  88.148
10708  3371  63.316
07739  3022  57.608
04072  20604  518.728
14221  23156  617.04
19460  7092  166.194
08061  5887  145.72
19090  5096  122.002
14534  19669  515.587
07203  848  5.251
08880  2272  44.65
08690  3717  79.071
07307  1831  26.701
18088  6159  139.664
98052  159035  4513.59
18092  6001  138.182
07843  3319  66.036
08518  4064  92.333
08904  2097  30.264
07079  1403  12.924
14608  20137  529.804
08010  4935  104.045
07607  2170  39.196
07031  2153  28.745
94005  162147  4682.324
07961  1783  30.335
10014  2348  32.634
24592  28010  703.541
29926  46770  1270.724
07627  3445  51.929
19064  6629  161.427
07801  2647  52.872
20148  15049  388.706
15090  23182  610.636
08048  4797  105.169
85024  134560  3854.613
10010  2870  39.111
07981  1948  34.937
30309  51781  1364.081
33327  70482  2018.295
88263  111959  3260.215
07440  2433  41.226
07102  1325  17.19
18076  6704  151.198
07026  2102  34.896
39503  70375  2016.525
27712  28555  766.554
34105  73110  2003.054
27021  33037  920.35
24477  21756  602.165
07650  2243  39.45
21050  10490  264.554
19046  5898  123.943
85343  136996  3927.035
18353  5617  132.138
08318  7215  172.175
70802  75052  2173.17
07008  1941  31.945
07112  1011  11.195
10913  3399  69.021
12508  5836  129.933
10314  2213  17.788
98072  159454  4524.052
41042  38851  1031.152
07423  2457  47.415
11354  3657  55.127
07032  1276  22.021
18080  6489  151.195
18466  6406  150.968
07310  1901  27.968
70596  77818  2263.688
18954  5593  115.791
14701  23674  627.075
07933  1939  34.068
08094  6733  155.913
19525  7124  160.469
21801  14331  344.119
07603  2391  41.769
08514  4140  86.383
19437  5872  138.317
07852  2841  61.838
28590  29850  796.101
19127  6209  151.61
17025  10086  263.21
07041  1265  10.637
76504  92668  2681.967
18923  5858  113.429
19512  7577  161.514
07757  3197  63.846
11215  3358  38.621
28269  35783  974.524
30004  52910  1357.235
Time: 10-20-2014 22:00:00
08822  3667  74.667
19095  5749  136.07
08889  2683  57.917
18947  4952  99.955
08825  3900  85.82
07936  1920  31.919
08886  3539  86.568
07901  1239  12.88
07073  2152  34.871
08046  4600  104.272
08865  4008  91.812
07712  3245  63.95
08820  1536  19.719
08876  2792  58.307
08902  2596  44.841
18976  5947  132.262
07030  2121  29.451
07652  2101  41.319
18015  4762  114.788
