Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
19525  2395  33.102
21801  11453  260.394
07603  7261  169.545
08514  4812  89.033
19437  699  6.166
07852  7033  123.641
28590  26945  707.559
19127  2096  41.145
17025  7195  181.898
07041  6988  127.893
76504  90170  2600.655
18923  2048  28.836
19512  3347  43.514
07757  6459  141.702
11215  7291  162.304
28269  33425  885.982
30004  48710  1268.693
Time: 10-28-2014 23:30:00
08822  3938  60.11
19095  1644  23.034
08889  4667  74.263
18947  2512  36.902
08825  3539  53.151
07936  6619  123.837
08886  4411  94.691
07901  6546  120.5
07073  7002  162.647
08046  3908  60.943
08865  4282  91.674
07712  5731  132.279
08820  5886  131.833
08876  4670  77.562
08807  5140  82.99
08902  5142  95.836
18976  1701  19.24
07030  7093  159.705
07652  7875  157.931
18015  3010  54.608
08833  5003  78.927
24401  18292  506.992
07066  5970  135.683
19446  318  2.721
08853  4328  70.726
08873  5596  99.879
18951  2248  39.835
18944  2061  26.277
08502  4882  88.288
08831  4895  100.636
10306  6802  141.11
18013  5267  109.655
18902  2395  30.885
07090  6247  138.643
08551  3411  52.362
07014  6872  163.963
08844  5761  74.538
07065  6030  134.012
07830  5972  92.915
08827  4835  102.836
07920  5692  99.864
02760  18974  474.12
07730  6243  141.338
07746  5611  116.106
08840  5545  123.227
19438  1096  13.417
07022  7348  164.695
07080  5753  128.916
07092  6814  108.501
07005  6882  129.299
07662  7642  174.935
08812  5492  92.99
07747  6393  129.972
18045  3457  79.765
07853  6381  101.374
08801  4475  73.247
07832  7179  136.269
18210  5192  106.542
07023  6472  103.72
07677  8499  168.915
48108  33246  926.453
07016  6077  139.848
07825  6514  136.187
08837  5479  122.376
08060  3891  73.24
18040  4227  91.616
07928  6719  119.575
19382  3394  52.77
07083  6239  144.348
08724  5648  124.077
07010  7695  167.365
08854  5609  96.668
19020  2589  42.017
07054  6664  122.388
07930  6358  106.384
18036  2147  42.079
07202  5874  136.652
07059  5960  98.962
07974  6492  116.794
18034  2654  48.101
07027  6317  137.893
08826  5934  88.763
07821  7041  150.254
07042  6936  158.366
