Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
19130  5413  102.912
33067  72175  1954.13
08804  2001  33.639
07950  2808  51.192
08887  1139  14.7
07760  4546  82.585
07045  2556  57.432
08510  4578  80.712
08805  1690  22.629
07006  3054  60.619
07081  2538  49.609
18017  2836  67.128
07095  2432  48.782
07110  3321  68.445
08550  4017  52.968
19468  6664  130.674
08721  5351  126.115
07720  4640  94.352
07302  3301  72.609
07675  4541  97.461
07728  4652  80.405
07082  2677  59.636
08536  3353  46.676
18074  5260  108.463
18106  3905  88.568
08085  6604  144.906
07863  2619  39.941
08836  1666  27.45
07432  3776  86.767
03825  21330  509.486
08108  5751  113.473
18039  2909  49.068
88221  110209  3116.619
08884  3387  49.626
07068  2847  62.433
19454  4336  69.752
07834  2608  56.229
27809  27035  676.643
08823  2652  40.677
18064  3111  67.287
18928  2554  44.465
19067  3709  65.858
07921  1171  13.974
19128  5958  90.99
07726  4249  75.731
10011  4086  77.292
08560  2559  39.431
07208  2769  57.738
07470  3397  72.429
08535  4089  75.197
88231  105837  3062.23
19473  5624  114.933
10954  4339  104.42
07876  2702  45.229
08075  5300  85.828
34232  69278  1848.788
08835  1854  20.959
08829  1302  16.686
07430  3870  84.423
07869  2961  59.094
07450  4286  89.703
08558  2221  32.328
30331  48668  1370.106
18051  4039  92.599
07105  2829  61.796
07666  3969  85.982
08534  2404  39.417
10950  5182  124.403
07946  1776  31.153
18055  3082  64.802
07044  3279  67.996
08753  5745  123.516
07070  3668  77.603
88201  107357  3016.836
07028  3012  64.005
18974  3612  60.279
07718  3852  73.198
07738  3726  75.321
66062  68013  1886.995
08859  2842  54.145
08810  3414  54.296
19464  5698  116.565
19465  6184  122.861
08858  681  8.151
07828  3122  47.853
19106  5186  99.79
08742  5172  107.062
08542  3120  43.046
19135  4841  88.106
10016  4174  82.119
08016  4579  82.723
07731  4771  103.69
07751  3795  68.801
18062  4211  93.654
19444  5401  91.258
03253  22581  571.249
19428  5434  94.04
07422  5093  101.76
07871  3741  82.536
18031  4042  92.197
07001  3042  55.185
07836  2230  40.598
07040  2400  50.491
18964  4821  75.806
90293  154176  4430.183
07052  2932  65.848
13905  10381  262.145
08861  2512  48.699
18334  5292  123.312
18322  4188  94.129
07927  2300  43.342
78342  102651  2949.134
12010  12258  326.132
07060  2090  36.498
18337  6194  126.78
18301  4560  74.16
18977  2840  43.167
07003  2907  65.068
18072  3551  79.537
08816  2966  44.274
08901  2499  36.423
18104  3647  82.399
08817  2353  41.11
02482  16277  399.519
08824  2799  42.107
08648  3135  51.224
07934  1610  25.969
08869  1125  17.017
07086  3486  77.048
10075  4851  85.832
15102  21500  530.862
95051  161455  4702.411
07204  2762  58.41
19038  5072  83.584
08730  4872  102.895
08003  5474  109.784
19401  5260  80.805
18932  4408  69.454
27587  28616  711.777
19440  4589  72.467
46032  40776  1090.713
94301  161073  4695.279
14770  19606  522.667
07062  2264  39.257
08062  6622  142.01
08527  5359  110.143
19031  5012  82.219
18360  3940  92.889
15044  20718  536.893
01070  14686  352.077
19136  4735  84.083
15003  22345  557.998
08034  5172  106.344
08520  3964  71.175
08638  3239  49.353
07069  1735  34.368
15084  20645  533.03
11510  6860  122.068
08852  3339  46.926
08054  4928  97.876
08035  5612  114.285
27807  28777  719.822
08863  2318  44.361
18940  3388  52.346
18969  4802  101.733
19025  4423  74.196
07039  2894  57.986
07417  3361  79.939
18067  3868  80.226
07878  2603  56.658
19504  4694  97.015
19085  5371  96.63
33331  73116  1989.885
98801  151330  4316.526
07932  2519  46.436
08691  4350  68.227
08872  2956  55.149
79780  108116  3157.734
18038  4551  89.304
10024  4116  84.422
08879  2775  52.748
08012  5994  128.991
07866  2965  64.774
07029  2956  63.246
08830  2704  48.787
18966  3866  59.545
88021  120180  3390.348
85342  133970  3882.322
19119  5712  90.005
22936  22136  501.121
18942  3154  48.974
07009  3245  70.38
22314  15025  330.373
07737  4026  75.688
19115  4748  80.783
08081  6548  129.149
19540  6675  151.768
60202  46282  1267.204
05465  23053  540.268
19087  5853  102.686
08052  5161  104.792
08225  8422  199.996
60611  44869  1244.577
19063  6340  116.749
10583  5559  116.307
07457  3097  69.751
10033  4135  91.437
20854  14706  329.678
07724  3797  82.449
07733  3468  72.838
07735  3274  64.241
28211  34953  975.638
07046  2614  55.028
01104  12651  307.833
10280  4102  77.32
08530  2245  36.35
07093  3698  78.544
07748  3631  70.848
07722  4271  82.248
07480  4019  85.724
10312  2966  57.535
07018  2692  58.051
07926  2532  47.499
18963  2369  40.309
08722  5539  124.604
07481  3545  83.556
07405  3360  75.1
10924  5559  139.372
18077  3034  50.657
02908  15054  367.549
08751  6061  132.275
75230  84191  2428.854
80129  98737  2814.252
92106  153518  4384.404
44026  25754  694.363
85340  133611  3843.529
92708  153466  4411.811
07663  3669  80.776
18930  3305  52.894
10597  7278  162.352
46060  41050  1098.352
10019  3988  80.694
19103  5298  102.892
07047  3675  77.339
19001  4818  74.944
07304  3287  72.274
07205  2660  55.62
07980  1935  32.476
08525  2176  29.797
18972  2945  42.051
10028  4835  87.353
98117  157946  4502.391
08088  6207  114.243
18018  3510  72.293
07305  3327  71.308
88121  103968  2923.79
07444  3089  69.792
33624  66100  1759.141
07856  3062  54.06
19125  5145  96.813
15927  17826  446.506
08505  4076  75.102
10708  4884  107.254
07739  4125  81.622
04072  22185  562.666
14221  22116  594.472
19460  6618  116.761
08061  6146  133.828
19090  4369  70.994
14534  18601  493.019
07203  2999  61.917
08880  1792  27.116
08690  3787  61.609
07307  3413  70.639
18088  4338  89.245
98052  157333  4491.022
18092  4180  87.763
07843  3511  54.05
08518  4458  77.991
08904  2394  35.379
07079  2655  52.411
14608  19022  507.236
08010  5203  82.298
07607  3719  83.496
07031  3775  75.427
94005  159928  4659.756
07961  2093  41.655
10014  3919  76.572
24592  28792  676.031
29926  49467  1243.214
07627  4985  95.867
19064  6157  111.994
07801  2994  65.366
20148  15774  361.196
15090  22130  560.217
08048  5171  95.096
85024  132891  3804.194
10010  4414  83.049
07981  2296  47.431
30309  47366  1343.121
33327  73261  1990.785
88263  110367  3209.796
07440  3313  66.925
07102  2890  61.128
18076  4809  100.779
07026  3656  80.121
39503  68724  1966.106
27712  29416  739.044
34105  76005  1975.544
27021  31378  869.931
24477  20046  551.746
07650  3794  83.388
21050  11111  237.044
19046  5053  72.691
85343  135271  3876.616
18353  3858  89.943
08318  7553  160.283
70802  73175  2122.751
07008  3192  60.29
07112  2543  55.133
10913  4849  112.012
12508  6448  151.749
10314  3517  64.337
98072  157728  4501.484
41042  36493  980.733
07423  4078  91.746
11354  5328  99.065
07032  2833  65.959
18080  4665  100.776
18466  5452  128.4
07310  3454  71.906
70596  76299  2213.269
18954  3620  55.547
14701  22631  604.507
07933  1984  38.182
08094  7177  149.509
19525  5265  110.05
21801  15022  321.426
07603  3940  85.707
08514  4988  93.411
19437  4546  71.698
07852  2932  51.36
28590  30862  768.591
19127  5708  102.177
17025  8285  212.791
07041  2525  51.06
76504  91273  2631.548
18923  3515  58.132
19512  5784  111.095
07757  4289  87.86
11215  4758  82.559
28269  34273  958.169
30004  48357  1336.275
Time: 10-28-2014 23:30:00
08822  1111  15.674
19095  5139  86.637
08889  0  0
18947  3116  49.536
08825  1936  31.916
07936  2447  51.556
08886  1741  36.149
07901  2037  43.667
07073  3645  78.809
08046  4853  91.192
08865  2211  41.393
07712  4236  87.964
08820  2624  43.985
08876  499  6.723
08807  1364  17.107
08902  3376  48.468
18976  3749  61.223
07030  3599  73.389
07652  3748  85.65
18015  2932  64.369
08833  527  7.584
24401  19366  537.885
07066  3029  46.838
19446  4759  74.223
08853  1034  13.9
08873  2094  32.732
18951  3631  75.893
18944  4012  65.482
08502  2245  32.29
08831  3817  64.787
10306  3826  64.63
18013  3791  67.669
18902  3371  53.773
07090  2590  42.969
08551  1932  26.648
07014  3298  74.604
08844  2859  26.835
07065  3050  56.485
07830  1315  16.736
08827  1548  25.357
07920  1473  25.369
02760  15699  390.282
07730  3322  64.858
07746  3598  72.296
08840  2368  42.748
19438  5329  109.196
07022  3955  80.873
07080  2297  36.739
07092  2450  43.805
07005  2775  57.018
07662  3516  81.102
08812  1696  26.697
07747  3150  60.532
18045  2579  60.729
07853  1983  26.844
08801  1165  15.545
07832  4802  86.592
18210  5702  124.295
07023  2243  39.033
07677  4344  96.634
48108  34369  952.98
07016  2762  60.37
07825  3745  76.459
08837  2323  42.877
08060  4573  86.806
18040  3114  51.471
07928  2156  42.742
19382  6996  131.552
07083  2556  55.567
08724  4837  106.678
07010  4120  83.543
08854  1934  30.375
19020  4294  76.424
07054  2502  50.107
07930  2071  34.103
18036  3304  77.21
07202  3106  65.824
07059  1537  28.188
07974  1946  39.961
18034  3086  73.682
07027  2886  44.819
08826  2074  25.631
07821  3266  58.318
07042  3038  64.822
07823  2710  44.346
10977  4458  104.995
19422  4698  76.527
07960  1877  38.897
07860  4353  73.459
07036  3077  58.329
08802  1709  29.333
19075  5079  82.783
18020  2646  59.661
07306  3184  68.763
19355  6051  112.264
07826  6030  121.289
11374  5223  94.318
78852  107622  3110.297
19426  5858  90.23
08882  2968  44.821
10310  3813  71.077
19462  5246  88.245
07670  4431  92.72
07931  1415  23.489
07882  2268  34.609
07945  2376  40.431
07076  2513  42.332
98346  163020  4528.779
08512  3713  52.559
88546  119039  3436.497
07701  3881  79.647
07676  3999  92.612
08850  2922  43.321
07067  3031  50.883
07922  1763  38.022
07940  2387  44.935
08846  1870  25.45
18042  2435  49.225
18925  3271  51.892
08559  1938  29.998
18960  4329  94.575
18901  3555  54.677
18052  3614  80.61
18920  2609  42.339
08867  1614  25.666
07078  2349  49.031
07803  3058  47.951
08755  5419  120.113
07002  3031  68.218
18929  3366  56.427
10022  4676  84.343
17111  8140  205.196
08857  3430  52.042
07456  3719  82.531
38117  58657  1680.256
19403  5406  84.734
10001  4131  80.743
07840  2657  35.096
08809  1552  22.695
07063  2425  31.755
18343  3706  59.962
07753  4180  91.772
07924  1745  29.618
07463  4009  87.45
10993  5481  123.333
18103  3141  75.69
12060  10809  289.475
02043  18019  449.569
07438  3890  82.055
19116  4464  77.967
19002  4535  76.626
08501  4400  85.654
18054  4750  101.917
07436  3138  75.549
18938  2332  40.181
08050  6498  152.688
88013  118475  3343.727
08848  2032  37.511
08540  2626  38.81
18914  3719  61.585
07401  3901  87.747
07033  2609  57.538
19130  5420  102.912
33067  72538  1954.13
08804  1952  33.639
07950  2778  51.192
08887  1098  14.7
07760  4492  82.585
07045  2553  57.432
08510  4553  80.712
08805  1629  22.629
07006  3023  60.619
07081  2521  49.609
18017  2820  67.128
07095  2485  48.782
07110  3282  68.445
08550  3897  52.968
19468  6689  130.674
08721  5353  126.115
07720  4688  94.352
07302  3275  72.609
07675  4540  97.461
07728  4542  80.405
07082  2721  59.636
08536  3328  46.676
18074  5205  108.463
18106  3896  88.568
08085  6573  144.906
07863  2570  39.941
08836  1614  27.45
07432  3797  86.767
03825  21271  509.486
08108  5762  113.473
18039  2888  49.068
88221  110077  3116.619
08884  3546  49.626
07068  2804  62.433
19454  4240  69.752
07834  2697  56.229
27809  27110  676.643
08823  2566  40.677
18064  3046  67.287
18928  2632  44.465
19067  3671  65.858
07921  1141  13.974
19128  5908  90.99
07726  4055  75.731
10011  4072  77.292
08560  2521  39.431
07208  2748  57.738
07470  3356  72.429
08535  4025  75.197
88231  105815  3062.23
19473  5521  114.933
10954  4359  104.42
07876  2702  45.229
08075  5245  85.828
34232  69631  1848.788
08835  1873  20.959
08829  1353  16.686
07430  3865  84.423
07869  3101  59.094
07450  4161  89.703
08558  2144  32.328
30331  48492  1370.106
18051  4033  92.599
07105  2758  61.796
07666  3938  85.982
08534  2397  39.417
10950  5149  124.403
07946  1740  31.153
18055  3022  64.802
07044  3247  67.996
08753  5743  123.516
07070  3526  77.603
88201  107151  3016.836
07028  2946  64.005
18974  3549  60.279
07718  3841  73.198
07738  3746  75.321
66062  67936  1886.995
08859  2882  54.145
08810  3604  54.296
19464  5617  116.565
19465  6231  122.861
08858  670  8.151
07828  3069  47.853
19106  5179  99.79
08742  5220  107.062
08542  3032  43.046
19135  4831  88.106
10016  4157  82.119
08016  4497  82.723
07731  4807  103.69
07751  3626  68.801
18062  4203  93.654
19444  5363  91.258
03253  22491  571.249
19428  5387  94.04
07422  5028  101.76
07871  3841  82.536
18031  4044  92.197
07001  3159  55.185
07836  2256  40.598
07040  2369  50.491
18964  4690  75.806
90293  153935  4430.183
07052  2874  65.848
13905  10271  262.145
08861  2475  48.699
18334  5244  123.312
18322  4125  94.129
07927  2272  43.342
78342  102583  2949.134
12010  12285  326.132
07060  2054  36.498
18337  6207  126.78
18301  4530  74.16
18977  2822  43.167
07003  2828  65.068
18072  3506  79.537
08816  3011  44.274
08901  2537  36.423
18104  3635  82.399
08817  2351  41.11
02482  16197  399.519
08824  2806  42.107
08648  3117  51.224
08619  3270  56.217
07934  1624  25.969
19118  5356  86.577
07206  3207  65.876
08869  1148  17.017
07086  3591  77.048
10075  4943  85.832
15102  21375  530.862
95051  161108  4702.411
07204  2744  58.41
19038  5073  83.584
08730  4885  102.895
08003  5438  109.784
19401  5181  80.805
18932  4335  69.454
27587  28766  711.777
19440  4501  72.467
46032  40541  1090.713
94301  160809  4695.279
14770  19632  522.667
07062  2244  39.257
08062  6580  142.01
08527  5334  110.143
19031  5007  82.219
18360  3907  92.889
15044  20611  536.893
01070  14651  352.077
19136  4752  84.083
15003  22186  557.998
08034  5144  106.344
08520  3983  71.175
08638  3227  49.353
07069  1700  34.368
15084  20526  533.03
11510  6829  122.068
08852  3353  46.926
08054  4919  97.876
08035  5607  114.285
27807  28916  719.822
08863  2275  44.361
18940  3334  52.346
18969  4762  101.733
19025  4378  74.196
07039  2810  57.986
07417  3401  79.939
18067  3816  80.226
07878  2684  56.658
19504  4679  97.015
19085  5364  96.63
33331  73408  1989.885
98801  151307  4316.526
07932  2488  46.436
